participant_home_ID,session,task,duration_min,n_events,participant_lab_ID,language
mrbf1,5,asrt,33.7853,2341,33,Mini-English
mtjw7,5,asrt,34.14511666666667,2328,57,Mini-English
mvse0,5,asrt,35.85188333333333,2584,52,Mini-Norwegian
noyy6,5,asrt,35.269333333333336,2427,25,Mini-English
pson3,5,asrt,36.33291666666667,2380,5,Mini-English
pwck3,5,asrt,38.42541666666666,2626,50,Mini-Norwegian
qdvg4,5,asrt,39.28456666666667,2627,7,Mini-English
qlhb2,5,asrt,34.71458333333333,2430,27,Mini-English
rodf4,5,asrt,35.59271666666667,2438,58,Mini-Norwegian
rsnb6,5,asrt,36.0398,2347,65,Mini-English
rvax5,5,asrt,34.36335,2403,16,Mini-Norwegian
sjnh6,5,asrt,33.961166666666664,2303,49,Mini-English
swbd5,5,asrt,34.46355,2428,47,Mini-English
sxhv6,5,asrt,35.307583333333334,2371,53,Mini-English
trpu0,5,asrt,36.56941666666667,2344,51,Mini-English
usjs8,5,asrt,36.18833333333333,2493,29,Mini-English
uwfo3,5,asrt,35.7458,2534,61,Mini-English
uyxx3,5,asrt,35.2879,2359,11,Mini-English
wjob1,5,asrt,35.339283333333334,2497,22,Mini-Norwegian
xqls8,5,asrt,36.09048333333333,2521,3,Mini-English
ymoq6,5,asrt,35.218333333333334,2533,62,Mini-Norwegian
yozx4,5,asrt,36.086216666666665,2440,30,Mini-Norwegian
yzud1,5,asrt,35.845616666666665,2687,42,Mini-Norwegian
zhao8,5,asrt,36.04266666666667,2362,26,Mini-Norwegian
zllv8,5,asrt,35.2186,2381,31,Mini-English
ztwr3,5,asrt,32.771116666666664,2396,21,Mini-English
zuff1,5,asrt,35.734,2515,36,Mini-Norwegian
zuwa4,5,asrt,34.7986,2496,19,Mini-English
